# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Users\claud\OneDrive\Documentos\labdig\exp3\exp3_desafio\circuito_exp3_ativ3.csv
# Generated on: Mon Jan 20 12:19:01 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
clock,Unknown,PIN_N16,5B,B5B_N0,,,,,,,,,,,,,,
reset,Unknown,PIN_B16,7A,B7A_N0,,,,,,,,,,,,,,
chaves[0],Unknown,PIN_V13,4A,B4A_N0,,,,,,,,,,,,,,
chaves[1],Unknown,PIN_T13,4A,B4A_N0,,,,,,,,,,,,,,
chaves[2],Unknown,PIN_T12,4A,B4A_N0,,,,,,,,,,,,,,
iniciar,Unknown,PIN_U13,4A,B4A_N0,,,,,,,,,,,,,,
chaves[3],Unknown,PIN_AA15,4A,B4A_N0,,,,,,,,,,,,,,
pronto,Unknown,PIN_AA2,2A,B2A_N0,,,,,,,,,,,,,,
db_igual,Unknown,PIN_AA1,2A,B2A_N0,,,,,,,,,,,,,,
db_iniciar,Unknown,PIN_W2,2A,B2A_N0,,,,,,,,,,,,,,
db_contagem[0],Unknown,PIN_U21,4A,B4A_N0,,,,,,,,,,,,,,
db_contagem[1],Unknown,PIN_V21,4A,B4A_N0,,,,,,,,,,,,,,
db_contagem[2],Unknown,PIN_W22,4A,B4A_N0,,,,,,,,,,,,,,
db_contagem[3],Unknown,PIN_W21,4A,B4A_N0,,,,,,,,,,,,,,
db_contagem[4],Unknown,PIN_Y22,4A,B4A_N0,,,,,,,,,,,,,,
db_contagem[5],Unknown,PIN_Y21,4A,B4A_N0,,,,,,,,,,,,,,
db_contagem[6],Unknown,PIN_AA22,4A,B4A_N0,,,,,,,,,,,,,,
db_memoria[0],Unknown,PIN_AA20,4A,B4A_N0,,,,,,,,,,,,,,
db_memoria[1],Unknown,PIN_AB20,4A,B4A_N0,,,,,,,,,,,,,,
db_memoria[2],Unknown,PIN_AA19,4A,B4A_N0,,,,,,,,,,,,,,
db_memoria[3],Unknown,PIN_AA18,4A,B4A_N0,,,,,,,,,,,,,,
db_memoria[4],Unknown,PIN_AB18,4A,B4A_N0,,,,,,,,,,,,,,
db_memoria[5],Unknown,PIN_AA17,4A,B4A_N0,,,,,,,,,,,,,,
db_memoria[6],Unknown,PIN_U22,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[0],Unknown,PIN_N9,3B,B3B_N0,,,,,,,,,,,,,,
db_estado[1],Unknown,PIN_M8,3B,B3B_N0,,,,,,,,,,,,,,
db_estado[2],Unknown,PIN_T14,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[3],Unknown,PIN_P14,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[4],Unknown,PIN_C1,2A,B2A_N0,,,,,,,,,,,,,,
db_estado[5],Unknown,PIN_C2,2A,B2A_N0,,,,,,,,,,,,,,
db_estado[6],Unknown,PIN_W19,4A,B4A_N0,,,,,,,,,,,,,,
db_chaves[6],Unknown,PIN_AB21,4A,B4A_N0,,,,,,,,,,,,,,
db_chaves[0],Unknown,PIN_Y19,4A,B4A_N0,,,,,,,,,,,,,,
db_chaves[1],Unknown,PIN_AB17,4A,B4A_N0,,,,,,,,,,,,,,
db_chaves[2],Unknown,PIN_AA10,3B,B3B_N0,,,,,,,,,,,,,,
db_chaves[3],Unknown,PIN_Y14,4A,B4A_N0,,,,,,,,,,,,,,
db_chaves[4],Unknown,PIN_V14,4A,B4A_N0,,,,,,,,,,,,,,
db_chaves[5],Unknown,PIN_AB22,4A,B4A_N0,,,,,,,,,,,,,,
