# Copyright (C) 2020  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 20.1.1 Build 720 11/11/2020 SJ Lite Edition
# File: C:\Users\claud\OneDrive\Documentos\labdig\exp4\exp4_T1BB1_ativ1.csv
# Generated on: Sat Jan 25 12:41:42 2025

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Transceiver Analog Settings Protocol,VCCR_GXB/VCCT_GXB Voltage,Transceiver I/O Pin Termination,Transceiver Dedicated Refclk Pin Termination,Transmitter Common Mode Driver Voltage,Transmitter Slew Rate Control,Transmitter Differential Output Voltage,Receiver Buffer Common Mode Voltage,Strict Preservation
reset,Input,PIN_B16,7A,B7A_N0,,,,,,,,,,,,,,
pronto,Output,PIN_N2,2A,B2A_N0,,,,,,,,,,,,,,
leds[3],Output,PIN_Y3,2A,B2A_N0,,,,,,,,,,,,,,
leds[2],Output,PIN_W2,2A,B2A_N0,,,,,,,,,,,,,,
leds[1],Output,PIN_AA1,2A,B2A_N0,,,,,,,,,,,,,,
leds[0],Output,PIN_AA2,2A,B2A_N0,,,,,,,,,,,,,,
iniciar,Input,PIN_U13,4A,B4A_N0,,,,,,,,,,,,,,
errou,Output,PIN_U2,2A,B2A_N0,,,,,,,,,,,,,,
db_tem_jogada,Output,PIN_L1,2A,B2A_N0,,,,,,,,,,,,,,
db_memoria[6],Output,PIN_U22,4A,B4A_N0,,,,,,,,,,,,,,
db_memoria[5],Output,PIN_AA17,4A,B4A_N0,,,,,,,,,,,,,,
db_memoria[4],Output,PIN_AB18,4A,B4A_N0,,,,,,,,,,,,,,
db_memoria[3],Output,PIN_AA18,4A,B4A_N0,,,,,,,,,,,,,,
db_memoria[2],Output,PIN_AA19,4A,B4A_N0,,,,,,,,,,,,,,
db_memoria[1],Output,PIN_AB20,4A,B4A_N0,,,,,,,,,,,,,,
db_memoria[0],Output,PIN_AA20,4A,B4A_N0,,,,,,,,,,,,,,
db_jogadafeita[6],Output,PIN_AB21,4A,B4A_N0,,,,,,,,,,,,,,
db_jogadafeita[5],Output,PIN_AB22,4A,B4A_N0,,,,,,,,,,,,,,
db_jogadafeita[4],Output,PIN_V14,4A,B4A_N0,,,,,,,,,,,,,,
db_jogadafeita[3],Output,PIN_Y14,4A,B4A_N0,,,,,,,,,,,,,,
db_jogadafeita[2],Output,PIN_AA10,3B,B3B_N0,,,,,,,,,,,,,,
db_jogadafeita[1],Output,PIN_AB17,4A,B4A_N0,,,,,,,,,,,,,,
db_jogadafeita[0],Output,PIN_Y19,4A,B4A_N0,,,,,,,,,,,,,,
db_igual,Output,PIN_U1,2A,B2A_N0,,,,,,,,,,,,,,
db_estado[6],Output,PIN_W19,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[5],Output,PIN_C2,2A,B2A_N0,,,,,,,,,,,,,,
db_estado[4],Output,PIN_C1,2A,B2A_N0,,,,,,,,,,,,,,
db_estado[3],Output,PIN_P14,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[2],Output,PIN_T14,4A,B4A_N0,,,,,,,,,,,,,,
db_estado[1],Output,PIN_M8,3B,B3B_N0,,,,,,,,,,,,,,
db_estado[0],Output,PIN_N9,3B,B3B_N0,,,,,,,,,,,,,,
db_contagem[6],Output,PIN_AA22,4A,B4A_N0,,,,,,,,,,,,,,
db_contagem[5],Output,PIN_Y21,4A,B4A_N0,,,,,,,,,,,,,,
db_contagem[4],Output,PIN_Y22,4A,B4A_N0,,,,,,,,,,,,,,
db_contagem[3],Output,PIN_W21,4A,B4A_N0,,,,,,,,,,,,,,
db_contagem[2],Output,PIN_W22,4A,B4A_N0,,,,,,,,,,,,,,
db_contagem[1],Output,PIN_V21,4A,B4A_N0,,,,,,,,,,,,,,
db_contagem[0],Output,PIN_U21,4A,B4A_N0,,,,,,,,,,,,,,
db_clock,Output,PIN_L2,2A,B2A_N0,,,,,,,,,,,,,,
clock,Input,PIN_N16,5B,B5B_N0,,,,,,,,,,,,,,
chaves[3],Input,PIN_P19,5A,B5A_N0,,,,,,,,,,,,,,
chaves[2],Input,PIN_N19,5B,B5B_N0,,,,,,,,,,,,,,
chaves[1],Input,PIN_T22,5A,B5A_N0,,,,,,,,,,,,,,
chaves[0],Input,PIN_R22,5A,B5A_N0,,,,,,,,,,,,,,
acertou,Output,PIN_N1,2A,B2A_N0,,,,,,,,,,,,,,
